Search field,Alias 1,Alias 2,Reference in the eForms SDK
AC,,,
accessibility-justification-lot,BT-755-Lot,,BT-755-Lot
accessibility-lot,BT-754-Lot,,BT-754-Lot
activity-sector,OPP-105-Business,,OPP-105-Business
additional-classification-lot,BT-263-Lot,,BT-263-Lot
additional-classification-part,BT-263-Part,,BT-263-Part
additional-classification-proc,BT-263-Procedure,,BT-263-Procedure
additional-info-glo,BT-300-LotsGroup,,BT-300-LotsGroup
additional-info-part,BT-300-Part,,BT-300-Part
additional-info-proc,BT-300-procedure,,BT-300-procedure
additional-information,OPP-130-Business,,OPP-130-Business
additional-information-lot,BT-300-Lot,,BT-300-Lot
announcement-title,OPP-121-Business,,OPP-121-Business
announcement-url,OPP-122-Business,,OPP-122-Business
assets-related-contract-extension-indicator-lot,OPP-020-Contract,,OPP-020-Contract
authority-main-activity,BT-10-Procedure-Buyer,,BT-10-Procedure-Buyer
award-criteria-complicated-glo,BT-543-LotsGroup,,BT-543-LotsGroup
award-criteria-order-justification,BT-733-LotsGroup,,BT-733-LotsGroup
award-criterion-complicated-lot,BT-543-Lot,,BT-543-Lot
award-criterion-description-glo,BT-540-LotsGroup,,BT-540-LotsGroup
award-criterion-description-lot,BT-540-Lot,,BT-540-Lot
award-criterion-name-glo,BT-734-LotsGroup,,BT-734-LotsGroup
award-criterion-name-lot,BT-734-Lot,,BT-734-Lot
award-criterion-number-fixed-glo,BT-5422-LotsGroup,,BT-5422-LotsGroup
award-criterion-number-fixed-lot,BT-5422-Lot,,BT-5422-Lot
award-criterion-number-lot,BT-541-Lot,,"BT-541-Lot
BT-541-Lot-FixedNumber
BT-541-Lot-ThresholdNumber
BT-541-Lot-WeightNumber
BT-541-LotsGroup-FixedNumber
BT-541-LotsGroup-ThresholdNumber
BT-541-LotsGroup-WeightNumber"
award-criterion-number-threshold-glo,BT-5423-LotsGroup,,BT-5423-LotsGroup
award-criterion-number-threshold-lot,BT-5423-Lot,,BT-5423-Lot
award-criterion-number-weight-glo,BT-5421-LotsGroup,,BT-5421-LotsGroup
award-criterion-number-weight-lot,BT-5421-Lot,,BT-5421-Lot
award-criterion-order-justification-lot,BT-733-Lot,,BT-733-Lot
award-criterion-type-glo,BT-539-LotsGroup,,BT-539-LotsGroup
award-criterion-type-lot,BT-539-Lot,,BT-539-Lot
business-city,,,BT-513-Business
business-contact-point,,,BT-502-Business
business-country,,,BT-514-Business
business-country-sub,,,BT-507-Business
business-email,,,BT-506-Business
business-fax,,,BT-739-Business
business-identifier,,,"BT-501-Business-European, BT-501-Business-National"
business-internet-address,,,BT-505-Business
business-name,,,BT-500-Business
business-post-code,,,BT-512-Business
business-street,,,BT-510(a)-Business; BT-510(b)-Business; BT-510(c)-Business
business-tel,,,BT-503-Business
buyer-city,TW,,BT-513-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-contact-point,,,BT-502-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-contracting-entity,BT-740-Procedure-Buyer,,BT-740-Procedure-Buyer
buyer-country,CY,,"BT-514-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
OPP-112-Business"
buyer-country-i18ns,,,
buyer-country-sub,,,BT-507-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-email,,,BT-506-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-gateway,,,BT-509-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-identifier,BI,,BT-501-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-internet-address,IA,,BT-505-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-legal-type,AA,BT-11-Procedure-Buyer,BT-11-Procedure-Buyer
buyer-name,AU,,BT-500-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-partname,,,BT-16-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-person,,,BT-633-Organization[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-post-code,,,BT-512-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-profile,BT-508-Procedure-Buyer,,BT-508-Procedure-Buyer
buyer-review-compainants-code,BT-712(a)-LotResult,,BT-712(a)-LotResult
buyer-review-compainants-val,BT-712(b)-LotResult,,BT-712(b)-LotResult
buyer-reviewrequests-irregularity-type,BT-636-LotResult,,BT-636-LotResult
buyer-reviewrequests-irregularity-type-val,BT-635-LotResult,,BT-635-LotResult
buyer-touchpoint-city,,,BT-513-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-touchpoint-contact-point,,,BT-502-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-touchpoint-country,,,BT-514-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-touchpoint-country-sub,,,BT-507-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-touchpoint-email,,,BT-506-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-touchpoint-gateway,,,BT-509-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-touchpoint-internet-address,,,BT-505-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-touchpoint-name,,,BT-500-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-touchpoint-partname,,,BT-16-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
buyer-touchpoint-post-code,,,BT-512-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
change-description,BT-141(a)-notice,,BT-141(a)-notice
change-notice-version-identifier,BT-758-notice,,BT-758-notice
change-previous-notice-section-identifier,BT-13716-notice,,BT-13716-notice
change-procurement-documents,BT-718-notice,,BT-718-notice
change-procurement-documents-date,BT-719-notice,,BT-719-notice
change-reason-code,BT-140-notice,,BT-140-notice
change-reason-description,BT-762-notice,,BT-762-notice
classification-cpv,PC,,"BT-262-Procedure
BT-263-Procedure
BT-262-Part
BT-263-Part
BT-262-Lot
BT-263-Lot"
competition-termination-proc,BT-756-Procedure,,BT-756-Procedure
concession-revenue-buyer,BT-160-Tender,,BT-160-Tender
concession-revenue-cur-buyer,,,BT-160-Tender
concession-revenue-cur-user,,,BT-162-Tender
concession-revenue-user,BT-162-Tender,,BT-162-Tender
concession-value-description,BT-163-Tender,,BT-163-Tender
contact-nature-main-part,BT-23-Part,,BT-23-Part
contract-conclusion-date,BT-145-Contract,,BT-145-Contract
contract-conditions-code-lot,OPP-030-Tender,,OPP-030-Tender
contract-conditions-description-lot,OPP-031-Tender,,OPP-031-Tender
contract-duration-end-date-lot,BT-537-Lot,,BT-537-Lot
contract-duration-end-date-part,BT-537-Part,,BT-537-Part
contract-duration-period-lot,BT-36-Lot,,BT-36-Lot
contract-duration-period-oth-lot,BT-538-Lot,,BT-538-Lot
contract-duration-period-oth-part,BT-538-Part,,BT-538-Part
contract-duration-period-part,BT-36-Part,,BT-36-Part
contract-duration-start-date-lot,BT-536-Lot,,BT-536-Lot
contract-duration-start-date-part,BT-536-Part,,BT-536-Part
contract-framework-agreement,BT-768-Contract,,BT-768-Contract
contract-identifier,BT-150-Contract,,BT-150-Contract
contract-nature,NC,,"BT-23-Procedure
BT-531-Procedure
BT-23-Part
BT-531-Part
BT-23-Lot
BT-531-Lot"
contract-nature-add-lot,BT-531-Lot,,BT-531-Lot
contract-nature-add-part,BT-531-Part,,BT-531-Part
contract-nature-add-proc,BT-531-Procedure,,BT-531-Procedure
contract-nature-main-lot,BT-23-Lot,,BT-23-Lot
contract-nature-main-proc,BT-23-Procedure,,BT-23-Procedure
contract-nature-subtype,OPP-040-Procedure,,OPP-040-Procedure
